Product Id,Product Type,Product Name,Product Gender Target,Product Category,Product Season,Product Condition,Sold,In Stock,Brand Id,Brand Name,Product Material,Product Colour,Price Usd,Warehouse name,Country
P00021,Accessories,Product 21,Male,men clothing,Autumn,Very Good,True,False,B4,Brand E,Cotton,Green,661.83,Paris,France
P00022,Shoes,Product 22,Female,women clothing,Winter,Fair,False,True,B4,Brand D,Cotton,Yellow,736.31,Paris,France
P00023,Shoes,Product 23,Male,men accessories,Summer,Never Worn with Tag,False,True,B1,Brand E,Silk,Blue,1569.05,Tokyo,Japan
P00024,Clothing,Product 24,Unisex,men shoes,Spring,Never Worn,True,False,B4,Brand D,Cotton,Green,453.17,Berlin,Germany
P00025,Shoes,Product 25,Female,men shoes,Autumn,Very Good,True,False,B3,Brand B,Silk,Pink,391.26,Paris,France
P00026,Shoes,Product 26,Male,men accessories,Autumn,Good,False,False,B3,Brand A,Denim,White,1617.5,Milan,Italy
P00027,Shoes,Product 27,Male,,Winter,Good,False,False,B3,Brand E,Silk,,919.53,New York,USA
P00028,Shoes,Product 28,Unisex,women clothing,Spring,Very Good,False,True,B1,Brand C,Polyester,Yellow,211.24,Berlin,Germany
P00029,Clothing,Product 29,Female,women clothing,Spring,Never Worn,False,False,B3,Brand C,Denim,Black,1133.35,London,UK
P00030,Accessories,Product 30,Female,,Summer,Never Worn,True,True,B5,Brand C,Leather,Pink,1662.03,London,UK
P00031,Clothing,Product 31,Male,women clothing,Summer,Never Worn with Tag,True,False,B4,Brand C,Denim,Red,1359.5,Tokyo,Japan
P00032,Clothing,Product 32,Male,women accessories,Summer,Good,False,True,B4,Brand C,Polyester,,1813.65,Milan,Italy
P00033,Clothing,Product 33,Male,men accessories,Winter,Never Worn with Tag,False,False,B2,Brand E,Silk,White,1573.09,Milan,Italy
P00034,Shoes,Product 34,Female,men shoes,Autumn,Good,False,False,B4,Brand D,Denim,Yellow,1222.16,Paris,France
P00035,Shoes,Product 35,Female,,Autumn,Never Worn with Tag,True,True,B1,Brand D,Wool,Pink,1549.09,New York,USA
P00036,Clothing,Product 36,Male,women accessories,Summer,Good,False,True,B5,Brand E,Leather,Red,1877.31,Tokyo,Japan
P00037,Accessories,Product 37,Male,men accessories,Winter,Never Worn,True,False,B5,Brand E,Silk,Green,1445.51,New York,USA
P00038,Clothing,Product 38,Male,women accessories,Spring,Never Worn,True,False,B1,Brand C,Silk,White,288.61,New York,USA
P00039,Clothing,Product 39,Female,women shoes,Spring,Very Good,False,True,B4,Brand C,Cotton,Blue,590.35,London,UK
P00040,Clothing,Product 40,Female,,Winter,Never Worn with Tag,False,True,B2,Brand B,Cotton,Blue,648.84,New York,USA
P00041,Clothing,Product 41,Male,men accessories,Winter,Never Worn with Tag,True,True,B4,Brand D,Denim,Pink,199.87,Tokyo,Japan
P00042,Accessories,Product 42,Unisex,men accessories,Summer,Good,True,False,B5,Brand A,Cotton,,352.01,London,UK
P00043,Accessories,Product 43,Female,men accessories,Winter,Never Worn with Tag,True,True,B3,Brand E,Leather,Green,772.89,Paris,France
P00044,Shoes,Product 44,Female,women clothing,Summer,Never Worn,True,True,B1,Brand E,Silk,Pink,1550.7,New York,USA
P00045,Accessories,Product 45,Unisex,men accessories,Autumn,Good,True,False,B2,Brand A,Cotton,Green,780.64,New York,USA
P00046,Clothing,Product 46,Unisex,men accessories,Summer,Good,False,False,B4,Brand D,Polyester,White,1652.48,Berlin,Germany
P00047,Shoes,Product 47,Male,men clothing,Winter,Very Good,True,False,B4,Brand A,Polyester,Green,1925.37,New York,USA
P00048,Clothing,Product 48,Female,men clothing,Autumn,Never Worn with Tag,True,True,B3,Brand B,Polyester,Blue,1987.19,Tokyo,Japan
P00049,Shoes,Product 49,Male,men shoes,Summer,Never Worn with Tag,True,True,B3,Brand C,Leather,White,1104.94,Milan,Italy
P00050,Accessories,Product 50,Female,men accessories,Summer,Never Worn,True,False,B3,Brand A,Cotton,Pink,1380.91,Milan,Italy
P00051,Shoes,Product 51,Male,women clothing,Autumn,Never Worn with Tag,False,True,B2,Brand A,Polyester,Black,338.46,Milan,Italy
P00052,Accessories,Product 52,Unisex,women clothing,Spring,Never Worn with Tag,False,False,B3,Brand D,Cotton,Yellow,443.06,Paris,France
P00053,Clothing,Product 53,Female,women shoes,Winter,Fair,True,False,B4,Brand C,Wool,,1183.53,New York,USA
P00054,Accessories,Product 54,Female,men accessories,Spring,Never Worn with Tag,False,True,B2,Brand C,Silk,Green,1923.97,New York,USA
P00055,Clothing,Product 55,Female,women shoes,Summer,Fair,True,False,B3,Brand D,Leather,White,1812.16,New York,USA
P00056,Shoes,Product 56,Male,women accessories,Autumn,Never Worn,False,False,B5,Brand D,Wool,Green,1729.68,Paris,France
P00057,Shoes,Product 57,Male,,Spring,Very Good,True,False,B1,Brand D,Denim,Red,1398.41,Milan,Italy
P00058,Accessories,Product 58,Unisex,women clothing,Autumn,Fair,True,False,B2,Brand E,Denim,Yellow,1324.78,Tokyo,Japan
P00059,Shoes,Product 59,Unisex,women clothing,Spring,Fair,False,False,B3,Brand C,Leather,Black,308.72,Berlin,Germany
P00060,Shoes,Product 60,Male,,Winter,Very Good,True,True,B1,Brand A,Polyester,Blue,694.73,Berlin,Germany
P00061,Clothing,Product 61,Unisex,,Winter,Good,True,True,B4,Brand E,Cotton,Black,1864.55,New York,USA
P00062,Accessories,Product 62,Unisex,women clothing,Winter,Good,True,True,B5,Brand A,Leather,Yellow,1526.79,London,UK
P00063,Shoes,Product 63,Male,men accessories,Autumn,Fair,False,False,B3,Brand A,Cotton,Green,835.9,New York,USA
P00064,Accessories,Product 64,Male,men shoes,Winter,Fair,False,True,B2,Brand D,Polyester,Blue,61.44,Berlin,Germany
P00065,Accessories,Product 65,Female,men shoes,Autumn,Fair,True,True,B1,Brand D,Leather,Pink,1484.27,Tokyo,Japan
P00066,Clothing,Product 66,Male,women clothing,Spring,Good,False,True,B3,Brand C,Leather,Pink,933.13,Milan,Italy
P00067,Shoes,Product 67,Unisex,men clothing,Spring,Never Worn,True,True,B4,Brand C,Cotton,White,926.07,Milan,Italy
P00068,Accessories,Product 68,Female,men accessories,Spring,Never Worn with Tag,True,True,B5,Brand C,Cotton,Yellow,1580.64,Tokyo,Japan
P00069,Clothing,Product 69,Unisex,men shoes,Winter,Never Worn,False,True,B1,Brand A,Polyester,Green,1181.57,Milan,Italy
P00070,Accessories,Product 70,Male,women accessories,Spring,Never Worn,True,False,B2,Brand E,Wool,Yellow,1412.52,Tokyo,Japan
P00071,Shoes,Product 71,Female,men accessories,Summer,Fair,False,True,B1,Brand A,Denim,Yellow,297.76,Berlin,Germany
P00072,Shoes,Product 72,Female,men shoes,Summer,Good,True,True,B5,Brand C,Cotton,Green,690.01,London,UK
P00073,Accessories,Product 73,Male,women accessories,Winter,Very Good,True,False,B5,Brand A,Silk,Pink,1662.14,Milan,Italy
P00074,Accessories,Product 74,Male,men accessories,Spring,Very Good,False,False,B2,Brand D,Wool,Green,1087.43,Milan,Italy
P00075,Clothing,Product 75,Female,women shoes,Winter,Never Worn with Tag,False,True,B1,Brand A,Leather,Green,942.06,Tokyo,Japan
P00076,Accessories,Product 76,Female,women shoes,Spring,Never Worn,True,True,B5,Brand A,Cotton,Black,462.63,Berlin,Germany
P00077,Clothing,Product 77,Unisex,women clothing,Winter,Never Worn with Tag,True,True,B4,Brand D,Silk,Pink,796.73,Paris,France
P00078,Shoes,Product 78,Female,men shoes,Winter,Fair,False,False,B2,Brand A,Leather,Black,1172.62,Tokyo,Japan
P00079,Accessories,Product 79,Unisex,women accessories,Autumn,Good,False,False,B5,Brand B,Silk,Yellow,1917.35,Milan,Italy
P00080,Shoes,Product 80,Unisex,men clothing,Spring,Fair,True,False,B4,Brand A,Denim,Yellow,757.18,Tokyo,
P00081,Shoes,Product 81,Female,men shoes,Spring,Very Good,True,False,B1,Brand E,Polyester,Black,1725.96,Paris,
P00082,Shoes,Product 82,Male,men accessories,Winter,Very Good,True,True,B3,Brand D,Silk,Yellow,148.33,Paris,France
P00083,Clothing,Product 83,Female,women shoes,Summer,Good,True,True,B1,Brand A,Silk,Black,432.0,Paris,France
P00084,Accessories,Product 84,Unisex,men clothing,Winter,Very Good,False,False,B1,Brand D,Wool,Red,1790.67,Milan,Italy
P00085,Accessories,Product 85,Male,men shoes,Autumn,Never Worn,True,True,B5,Brand E,Cotton,Green,353.55,Paris,France
P00086,Clothing,Product 86,Unisex,women clothing,Summer,Fair,True,True,B4,Brand D,Wool,Yellow,571.78,New York,USA
P00087,Clothing,Product 87,Unisex,men shoes,Summer,Fair,True,False,B1,Brand D,Wool,Green,1821.59,Milan,Italy
P00088,Shoes,Product 88,Male,women clothing,Winter,Never Worn with Tag,True,True,B2,Brand E,Polyester,,425.32,Berlin,Germany
P00089,Shoes,Product 89,Unisex,women shoes,Winter,Very Good,True,False,B1,Brand A,Denim,Blue,1161.75,London,UK
P00090,Accessories,Product 90,Female,men accessories,Autumn,Never Worn,True,True,B3,Brand D,Polyester,Red,1733.96,Berlin,Germany
P00091,Shoes,Product 91,Male,women accessories,Autumn,Never Worn with Tag,True,False,B1,Brand A,Polyester,Red,394.08,Paris,France
P00092,Shoes,Product 92,Male,men clothing,Winter,Fair,False,True,B4,Brand D,Cotton,Black,1758.04,New York,USA
P00093,Accessories,Product 93,Female,women clothing,Spring,Good,False,False,B1,Brand B,Denim,Red,1746.57,Tokyo,Japan
P00094,Clothing,Product 94,Female,men accessories,Summer,Good,False,True,B2,Brand E,Denim,Red,1874.33,Tokyo,Japan
P00095,Clothing,Product 95,Female,men accessories,Autumn,Very Good,False,False,B1,Brand B,Silk,Red,1977.64,London,UK
P00096,Clothing,Product 96,Female,,Winter,Never Worn,True,False,B4,Brand E,Cotton,,257.05,New York,
P00097,Accessories,Product 97,Female,women clothing,Winter,Never Worn with Tag,False,True,B4,Brand B,Wool,White,1129.69,Milan,Italy
P00098,Clothing,Product 98,Male,men accessories,Summer,Good,False,True,B4,Brand A,Denim,Blue,705.53,Tokyo,Japan
P00099,Accessories,Product 99,Unisex,men shoes,Spring,Fair,False,False,B4,Brand C,Polyester,Red,618.84,New York,USA
P00100,Accessories,Product 100,Female,,Summer,Very Good,True,False,B4,Brand C,Denim,Yellow,944.13,New York,USA
P00101,Clothing,Product 101,Unisex,men clothing,Spring,Very Good,True,False,B1,Brand E,Wool,Red,1425.68,London,UK
P00102,Shoes,Product 102,Female,men clothing,Winter,Good,False,True,B3,Brand B,Leather,Blue,667.83,New York,USA
P00103,Clothing,Product 103,Male,,Summer,Never Worn,True,False,B2,Brand B,Cotton,Red,921.4,Tokyo,Japan
P00104,Accessories,Product 104,Male,men accessories,Winter,Never Worn with Tag,False,True,B4,Brand D,Cotton,Black,1839.35,Tokyo,Japan
P00105,Shoes,Product 105,Male,women accessories,Spring,Never Worn with Tag,False,True,B1,Brand E,Cotton,Pink,1137.48,New York,USA
P00106,Shoes,Product 106,Unisex,men accessories,Spring,Good,True,False,B1,Brand B,Leather,Red,1511.21,Milan,Italy
P00107,Shoes,Product 107,Unisex,men clothing,Summer,Never Worn with Tag,False,False,B4,Brand B,Cotton,,1054.55,Paris,France
P00108,Clothing,Product 108,Female,women accessories,Autumn,Never Worn with Tag,False,True,B4,Brand C,Polyester,Yellow,722.38,Paris,France
P00109,Accessories,Product 109,Male,women clothing,Winter,Never Worn,False,True,B1,Brand D,Silk,Pink,1325.17,New York,USA
P00110,Clothing,Product 110,Unisex,men clothing,Summer,Never Worn,False,True,B4,Brand D,Wool,Red,1161.72,Paris,France
P00111,Accessories,Product 111,Male,men accessories,Winter,Very Good,False,True,B3,Brand A,Denim,Pink,401.29,Paris,France
P00112,Shoes,Product 112,Female,women shoes,Spring,Never Worn,False,True,B4,Brand C,Wool,Pink,493.64,London,UK
P00113,Clothing,Product 113,Female,women accessories,Spring,Never Worn,False,False,B1,Brand C,Denim,Pink,424.42,London,UK
P00114,Clothing,Product 114,Unisex,men clothing,Spring,Fair,True,True,B1,Brand C,Denim,Blue,449.53,Tokyo,Japan
P00115,Clothing,Product 115,Female,men shoes,Winter,Good,True,False,B3,Brand E,Cotton,White,1121.13,Milan,Italy
P00116,Accessories,Product 116,Male,women accessories,Winter,Very Good,False,False,B5,Brand B,Polyester,Yellow,1082.34,Milan,Italy
P00117,Clothing,Product 117,Unisex,men accessories,Autumn,Very Good,False,False,B1,Brand E,Leather,Pink,1719.57,Milan,Italy
P00118,Shoes,Product 118,Male,,Autumn,Never Worn,True,True,B2,Brand D,Wool,White,1691.04,London,UK
P00119,Clothing,Product 119,Female,men accessories,Spring,Never Worn,False,True,B5,Brand C,Cotton,Yellow,872.81,Paris,
P00120,Accessories,Product 120,Unisex,women shoes,Spring,Never Worn,True,True,B2,Brand A,Silk,Blue,344.72,Tokyo,Japan
P00121,Shoes,Product 121,Male,men clothing,Autumn,Never Worn,True,False,B3,Brand E,Denim,Pink,782.96,Paris,France
P00122,Accessories,Product 122,Female,men clothing,Autumn,Good,True,False,B4,Brand E,Denim,Black,1527.97,Tokyo,Japan
P00123,Clothing,Product 123,Female,men accessories,Spring,Good,False,True,B1,Brand D,Polyester,Yellow,51.34,Tokyo,Japan
P00124,Shoes,Product 124,Unisex,women shoes,Winter,Good,True,False,B4,Brand D,Denim,White,1208.2,Berlin,Germany
P00125,Accessories,Product 125,Female,women accessories,Spring,Never Worn with Tag,True,False,B5,Brand C,Silk,Yellow,1369.63,New York,USA
P00126,Accessories,Product 126,Female,men accessories,Winter,Very Good,True,False,B1,Brand A,Polyester,Pink,1352.81,New York,USA
P00127,Shoes,Product 127,Female,men clothing,Autumn,Never Worn,True,True,B4,Brand E,Polyester,Green,1283.01,London,UK
P00128,Shoes,Product 128,Male,men accessories,Autumn,Very Good,True,True,B5,Brand D,Leather,Yellow,232.51,New York,USA
P00129,Clothing,Product 129,Male,men accessories,Winter,Good,False,True,B1,Brand B,Cotton,Black,1294.51,Tokyo,Japan
P00130,Shoes,Product 130,Unisex,women clothing,Spring,Fair,False,True,B2,Brand A,Leather,Green,412.95,Paris,France
P00131,Accessories,Product 131,Unisex,women shoes,Spring,Fair,True,False,B2,Brand E,Silk,Blue,210.02,Tokyo,Japan
P00132,Clothing,Product 132,Male,men clothing,Summer,Very Good,False,False,B3,Brand E,Silk,Black,1484.37,New York,USA
P00133,Shoes,Product 133,Male,women clothing,Autumn,Fair,True,True,B2,Brand B,Denim,Pink,469.99,Paris,France
P00134,Clothing,Product 134,Female,women accessories,Winter,Very Good,False,False,B1,Brand D,Wool,Blue,813.01,Milan,Italy
P00135,Shoes,Product 135,Unisex,women accessories,Winter,Very Good,False,True,B3,Brand B,Cotton,Blue,82.58,Berlin,Germany
P00136,Clothing,Product 136,Unisex,women clothing,Summer,Very Good,True,False,B4,Brand C,Silk,Black,1964.33,Milan,Italy
P00137,Shoes,Product 137,Female,men clothing,Autumn,Fair,True,False,B2,Brand C,Leather,Black,966.8,New York,USA
P00138,Accessories,Product 138,Female,women clothing,Spring,Very Good,False,False,B4,Brand A,Denim,Red,1183.78,Berlin,Germany
P00139,Clothing,Product 139,Female,women clothing,Winter,Fair,False,True,B2,Brand C,Denim,Yellow,343.51,Paris,France
P00140,Clothing,Product 140,Female,women shoes,Summer,Never Worn,False,False,B5,Brand B,Cotton,White,631.38,New York,USA
P00141,Accessories,Product 141,Female,men accessories,Spring,Never Worn,True,True,B3,Brand C,Leather,Yellow,1674.93,New York,USA
P00142,Clothing,Product 142,Unisex,men shoes,Autumn,Good,True,True,B4,Brand D,Leather,Black,574.19,Paris,France
P00143,Clothing,Product 143,Female,men clothing,Summer,Very Good,False,True,B4,Brand B,Silk,Green,343.43,Berlin,Germany
P00144,Clothing,Product 144,Female,women accessories,Summer,Good,True,False,B1,Brand A,Cotton,Green,1018.65,Milan,Italy
P00145,Shoes,Product 145,Male,men clothing,Winter,Very Good,True,True,B1,Brand A,Silk,White,1183.07,Paris,France
P00146,Accessories,Product 146,Unisex,women shoes,Summer,Very Good,False,False,B4,Brand B,Silk,Red,1505.64,Paris,France
P00147,Accessories,Product 147,Male,women accessories,Spring,Good,True,True,B1,Brand A,Silk,White,1031.45,Tokyo,Japan
P00148,Accessories,Product 148,Male,men accessories,Spring,Very Good,True,False,B2,Brand E,Wool,Yellow,931.07,Tokyo,Japan
P00149,Shoes,Product 149,Unisex,men accessories,Autumn,Never Worn,False,True,B4,Brand E,Polyester,White,660.78,London,UK
P00150,Shoes,Product 150,Male,men accessories,Autumn,Very Good,False,False,B3,Brand D,Wool,White,495.06,Milan,Italy
P00151,Shoes,Product 151,Male,women clothing,Spring,Never Worn with Tag,False,False,B1,Brand A,Cotton,Green,1513.59,Berlin,Germany
P00152,Clothing,Product 152,Female,women accessories,Spring,Never Worn,True,False,B4,Brand C,Wool,Green,665.55,Tokyo,Japan
P00153,Clothing,Product 153,Female,men clothing,Summer,Good,True,False,B5,Brand B,Denim,White,911.79,Milan,Italy
P00154,Clothing,Product 154,Male,men accessories,Summer,Never Worn,False,True,B2,Brand C,Denim,White,914.65,Paris,France
P00155,Accessories,Product 155,Male,women shoes,Winter,Very Good,True,True,B3,Brand A,Denim,Red,1587.94,Paris,France
P00156,Accessories,Product 156,Unisex,men shoes,Spring,Very Good,True,False,B5,Brand E,Wool,Pink,510.08,Tokyo,Japan
P00157,Shoes,Product 157,Unisex,women shoes,Winter,Good,False,True,B3,Brand C,Leather,Green,1739.31,Berlin,Germany
P00158,Shoes,Product 158,Unisex,women clothing,Spring,Good,False,False,B2,Brand E,Polyester,Blue,743.82,New York,USA
P00159,Shoes,Product 159,Unisex,men shoes,Summer,Fair,False,False,B5,Brand E,Silk,White,1146.71,Tokyo,Japan
P00160,Clothing,Product 160,Female,women accessories,Autumn,Fair,True,True,B4,Brand D,Wool,White,1446.94,Milan,Italy
P00161,Shoes,Product 161,Unisex,women shoes,Autumn,Very Good,False,False,B1,Brand C,Wool,Yellow,1986.98,Berlin,Germany
P00162,Accessories,Product 162,Male,men accessories,Spring,Never Worn,False,False,B5,Brand E,Polyester,Blue,1807.09,Berlin,Germany
P00163,Accessories,Product 163,Female,men shoes,Winter,Fair,True,True,B1,Brand D,Leather,Blue,57.77,Paris,France
P00164,Shoes,Product 164,Unisex,men clothing,Autumn,Never Worn,True,True,B1,Brand D,Cotton,Green,935.0,Milan,
P00165,Accessories,Product 165,Female,women shoes,Winter,Very Good,True,False,B1,Brand E,Wool,Black,172.42,Milan,Italy
P00166,Shoes,Product 166,Male,women clothing,Summer,Very Good,True,False,B1,Brand B,Wool,Red,1193.59,New York,USA
P00167,Shoes,Product 167,Unisex,women shoes,Autumn,Never Worn with Tag,False,False,B4,Brand B,Polyester,Yellow,214.28,London,UK
P00168,Shoes,Product 168,Female,women accessories,Spring,Good,True,False,B4,Brand E,Silk,Green,287.47,Tokyo,Japan
P00169,Shoes,Product 169,Female,men shoes,Summer,Never Worn with Tag,False,True,B3,Brand B,Silk,Blue,849.45,London,
P00170,Clothing,Product 170,Male,women clothing,Spring,Good,False,False,B2,Brand A,Cotton,Pink,506.63,London,UK
P00171,Accessories,Product 171,Male,men clothing,Summer,Good,True,True,B1,Brand C,Polyester,Black,384.25,Milan,Italy
P00172,Clothing,Product 172,Male,men accessories,Autumn,Very Good,False,False,B3,Brand A,Polyester,White,618.9,New York,USA
P00173,Accessories,Product 173,Female,,Autumn,Never Worn with Tag,True,True,B3,Brand A,Polyester,White,665.39,London,UK
P00174,Clothing,Product 174,Female,men accessories,Autumn,Very Good,True,False,B5,Brand D,Cotton,Blue,1879.71,London,UK
P00175,Clothing,Product 175,Male,men accessories,Autumn,Good,False,False,B5,Brand A,Leather,Black,895.41,Tokyo,Japan
P00176,Clothing,Product 176,Male,men accessories,Summer,Never Worn,True,False,B1,Brand C,Denim,Pink,627.61,New York,USA
P00177,Clothing,Product 177,Male,women shoes,Summer,Very Good,True,False,B3,Brand C,Denim,Black,1893.0,Berlin,Germany
P00178,Clothing,Product 178,Unisex,women accessories,Summer,Never Worn,False,False,B3,Brand D,Leather,Blue,1730.3,Milan,Italy
P00179,Accessories,Product 179,Unisex,men accessories,Winter,Very Good,True,False,B5,Brand D,Silk,Green,827.82,New York,USA
P00180,Clothing,Product 180,Male,women shoes,Summer,Never Worn,True,True,B5,Brand E,Leather,Pink,1078.51,London,UK
P00181,Accessories,Product 181,Male,women accessories,Summer,Fair,False,False,B4,Brand A,Denim,White,54.17,Berlin,Germany
P00182,Accessories,Product 182,Female,men clothing,Summer,Fair,True,False,B5,Brand B,Cotton,Red,1998.02,Milan,Italy
P00183,Clothing,Product 183,Unisex,men accessories,Spring,Good,True,False,B1,Brand C,Silk,White,154.42,Berlin,Germany
P00184,Shoes,Product 184,Female,men shoes,Autumn,Never Worn,False,False,B4,Brand C,Polyester,Yellow,772.5,Tokyo,Japan
P00185,Accessories,Product 185,Female,men clothing,Summer,Never Worn,True,True,B5,Brand B,Polyester,Black,900.48,Berlin,Germany
P00186,Shoes,Product 186,Female,,Winter,Never Worn with Tag,False,False,B4,Brand D,Polyester,Blue,441.87,London,UK
P00187,Accessories,Product 187,Male,men clothing,Winter,Never Worn with Tag,True,False,B1,Brand B,Cotton,Red,737.36,London,UK
P00188,Clothing,Product 188,Male,men accessories,Winter,Good,False,False,B1,Brand C,Denim,Blue,1582.8,Milan,Italy
P00189,Clothing,Product 189,Female,men clothing,Autumn,Good,False,False,B4,Brand D,Polyester,White,1007.75,Paris,France
P00190,Clothing,Product 190,Unisex,women accessories,Winter,Never Worn with Tag,True,True,B2,Brand B,Silk,Black,1766.67,London,UK
P00191,Clothing,Product 191,Female,men accessories,Summer,Never Worn with Tag,True,False,B3,Brand B,Cotton,Blue,133.94,London,UK
P00192,Clothing,Product 192,Male,men accessories,Summer,Never Worn with Tag,False,True,B2,Brand A,Leather,Green,501.41,New York,USA
P00193,Clothing,Product 193,Unisex,men clothing,Spring,Never Worn with Tag,False,False,B5,Brand C,Wool,White,950.08,Tokyo,Japan
P00194,Shoes,Product 194,Male,,Autumn,Good,False,False,B1,Brand A,Polyester,White,192.51,Milan,Italy
P00195,Shoes,Product 195,Male,women accessories,Spring,Never Worn with Tag,False,False,B2,Brand E,Denim,,485.36,New York,USA
P00196,Accessories,Product 196,Unisex,women accessories,Autumn,Never Worn,True,False,B5,Brand D,Cotton,Yellow,1727.78,Milan,Italy
P00197,Accessories,Product 197,Female,men clothing,Spring,Very Good,False,True,B4,Brand D,Wool,Blue,1032.36,Tokyo,Japan
P00198,Shoes,Product 198,Male,men shoes,Summer,Never Worn with Tag,False,False,B3,Brand A,Cotton,Yellow,1670.47,Paris,France
P00199,Clothing,Product 199,Unisex,women accessories,Winter,Never Worn,True,False,B4,Brand E,Denim,Blue,250.67,Berlin,Germany
P00200,Clothing,Product 200,Female,men shoes,Autumn,Very Good,False,False,B2,Brand A,Denim,Green,1270.41,Milan,Italy
P00201,Shoes,Product 201,Male,women shoes,Summer,Very Good,False,True,B4,Brand C,Denim,White,537.99,New York,USA
P00202,Shoes,Product 202,Male,women shoes,Spring,Good,False,True,B4,Brand B,Polyester,Yellow,1149.14,Milan,Italy
P00203,Clothing,Product 203,Unisex,women accessories,Autumn,Very Good,False,False,B3,Brand B,Silk,Red,496.07,Tokyo,Japan
P00204,Shoes,Product 204,Male,,Spring,Never Worn with Tag,False,True,B2,Brand E,Leather,White,786.84,London,UK
P00205,Accessories,Product 205,Female,men shoes,Spring,Very Good,False,False,B1,Brand C,Denim,Black,1186.12,New York,USA
P00206,Accessories,Product 206,Male,women clothing,Spring,Never Worn with Tag,False,True,B1,Brand D,Cotton,White,1269.65,New York,USA
P00207,Clothing,Product 207,Female,women shoes,Winter,Never Worn,False,False,B2,Brand A,Cotton,Green,273.33,New York,USA
P00208,Clothing,Product 208,Female,women shoes,Winter,Fair,False,False,B5,Brand D,Silk,White,170.96,London,UK
P00209,Shoes,Product 209,Male,women shoes,Summer,Very Good,False,False,B5,Brand C,Cotton,Yellow,1616.49,Paris,France
P00210,Accessories,Product 210,Unisex,men clothing,Summer,Fair,True,False,B5,Brand C,Silk,,703.68,Berlin,Germany
P00211,Accessories,Product 211,Unisex,men accessories,Summer,Good,True,True,B2,Brand C,Polyester,Yellow,1573.48,Milan,Italy
P00212,Clothing,Product 212,Unisex,women accessories,Winter,Never Worn,True,False,B3,Brand A,Wool,Green,1163.27,Tokyo,Japan
P00213,Accessories,Product 213,Male,women shoes,Spring,Never Worn with Tag,False,False,B2,Brand E,Silk,Green,897.54,Milan,Italy
P00214,Clothing,Product 214,Unisex,men accessories,Winter,Never Worn with Tag,True,False,B3,Brand A,Silk,White,670.9,Berlin,Germany
P00215,Shoes,Product 215,Male,women clothing,Winter,Very Good,True,False,B2,Brand D,Denim,Blue,1641.32,Berlin,Germany
P00216,Clothing,Product 216,Male,men shoes,Spring,Good,True,True,B1,Brand C,Denim,Green,1122.53,Milan,
P00217,Shoes,Product 217,Male,men clothing,Winter,Fair,True,True,B4,Brand A,Denim,,179.62,Milan,Italy
